MID	Title	altTitles	composer	composer_uri	lyricist	lyricist_uri	arranger	arranger_uri	Editors	Photographers	Illustrators	Publisher	PublisherLocationTest	CopyrightDate	language	text	notes	Donor	Distributor		subjects	CallNumber	PlateNumber	Series	CollectionSource	LargerWork	Keywords	Original_Notes	zImagePath	MidiPath	zNumberOfPages	TitleSearchHits	Incomplete	Jess_Notes
1089	Granny : you're my mammy's mammy		"Akst, Harry, 1894-1963"	http://id.loc.gov/authorities/names/n87847829	"Young, Joe, 1889-1939"	http://id.loc.gov/authorities/names/no90019793					"R.S. (Firm : New York, NY)"	Irving Berlin	"New York, NY"	1921	English	First line of text|I know a quaint little lady. :: First line of chorus|Granny You're my Mammy's Mammy.	For voice and piano.	Laurence Conger			Grandmothers--Songs and music|Popular music--United States--1921-1930|Songs with piano	Sheet music 753						For voice and piano.<BR>First line of text: I know a quaint little lady.<BR>First line of chorus: Granny You're my Mammy's Mammy.			0	144	N	
					"Lewis, Sam M., 1885-1959"	http://id.loc.gov/authorities/names/no91012304																												
1118	On the road to home sweet home : one step march		"Van Alstyne, Egbert, 1882-1951"	http://id.loc.gov/authorities/names/nr97021570			"McCabe, James C."	http://id.loc.gov/authorities/names/n88006038				Jerome H. Remick	"New York, NY"	1917			Caption title.|For piano.|Missing cover.|Pl. no.: 153-8 1/2	Laurence Conger			"Marches (Piano)|Piano music, Arranged|Popular instrumental music--1911-1920"	Sheet music 1304						"For piano. <br>Pl. no.: 153-8 1/2<br>Caption title.<br>Missing cover.<br>"			0	117	N	
1008	The rookies : march		"Drumm, George, 1874-1959"	http://id.loc.gov/authorities/names/no00059897								G. Schirmer	"New York, NY"	1917			Caption title.|For piano.|Pl. no.: 27315C				Marches|Piano music	Sheet music 675						"Pl. no.: 27315C<br>For piano.<br>Caption title."			0	66	N	
1010	If I'm not at the  roll call : kiss mother goodbye for me		"Boyden, George L., 1878-1942"	http://id.loc.gov/authorities/names/no2006072937	"Boyden, George L., 1878-1942"	http://id.loc.gov/authorities/names/no2006072937					"Pfeiffer, E. H."	Leo. Feist	"New York, NY"	1918	English	"First line of text|'Twas just before the battle, boys. :: First line of chorus|If I am not at the roll call."	"For voice and piano.|Cover illustration by Pfeiffer, E. H.|Pl. no.: 3956-2."	Laurence Conger			"World War, 1914-1918--Songs and music|Trench warfare--Songs and music|Popular music--United States--1911-1920|Songs with piano"	Sheet music 677						"For voice and piano.<BR>First line of text: 'Twas just before the battle, boys.<BR>First line of chorus: If I am not at the roll call.<BR>Pl. no.: 3956-2.<BR>Cover illustration by Pfeiffer, E. H."			0	104	N	
1037	Shepherd serenade		"Spielman, Fred"	http://id.loc.gov/authorities/names/n93026634	"Goell, Kermit"	http://id.loc.gov/authorities/names/no96012012					Ed Allen	Mayfair Music	"New York, NY"	1941	English	First line of text|Long ago when the world was gray. :: First line of chorus|I heard a lonely shepherd playing.	Caption title.|For voice and piano; includes chord diagrams and symbols.|Cover design by Ed. Allen.	Laurence Conger			Popular music|Songs with piano	Sheet music 701						"For voice and piano; includes chord diagrams and symbols.<br>Caption title.<br>Cover design by Ed. Allen.<br>First line of text: Long ago when the world was gray.<br>First line of chorus: I heard a lonely shepherd playing."			0	123	N	
1040	Tangerine		"Schertzinger, Victor"	http://id.loc.gov/authorities/names/n87149675	"Mercer, Johnny"	http://id.loc.gov/authorities/names/n82078485						Famous Music	"New York, NY"	1942	English	First line of text|South American stories tell of a girl who's quite a dream.	"Caption title.|For voice and piano; includes chord diagrams for ukulele and chord symbols for guitar.|At top of caption: As sung by Bob Eberly and Helen O'Connell with Jimmy Dorsey and his orch. in the Paramount picture, The fleet's in."	Laurence Conger			Motion picture music--Excerpts--Vocal scores with piano|Popular music|Songs with piano	Sheet music 704				The fleet's in		"For voice and piano; includes chord diagrams for ukulele and chord symbols for guitar.<br>Caption title.<br>At top of caption: As sung by Bob Eberly and Helen O'Connell with Jimmy Dorsey and his orch. in the Paramount picture, The fleet's in.<br>First line of text: South American stories tell of a girl who's quite a dream."			0	67	N	
1042	Blue skies		"Berlin, Irving, 1888-1989"	http://id.loc.gov/authorities/names/n50026116	"Berlin, Irving, 1888-"	http://id.loc.gov/authorities/names/n50026116						Irving Berlin	"New York, NY"	1927	English	First line of text|I was blue jst as blue as I could be. :: First line of chorus|Blue skies smiling at me.	Caption title.|For voice and piano; includes chord diagrams for guitar and chord symbols for ukulele and banjo.|Standard ed.	Laurence Conger			Love songs	Sheet music 706				Alexander's ragtime band		"For voice and piano; includes chord diagrams for guitar and chord symbols for ukulele and banjo.<br>Caption title.<br>Standard ed.<br>First line of text: I was blue jst as blue as I could be.<br>First line of chorus: Blue skies smiling at me."			0	218	N	
1044	"It's been a long, long time"		"Styne, Jule, 1905-1994"	http://id.loc.gov/authorities/names/n81120322	"Cahn, Sammy, 1913-1993"	http://id.loc.gov/authorities/names/n82096094						Edwin H. Morris	"New York, NY"	1940	English	First line of text|Never thought that you would be standing here. :: First line of chorus|Just kiss me once.	"Caption title.|For voice and piano, with chord symbols.|""Featured by Bing Crosby""--Cover."	Laurence Conger			Popular music--United States	Sheet music 708						"For voice and piano, with chord symbols.<br>Caption title.<br>""Featured by Bing Crosby""--Cover.<br>First line of text: Never thought that you would be standing here.<br>First line of chorus: Just kiss me once."			0	73	N	
1048	I'd rather be me		"Bernard, Felix, 1897-1944"	http://id.loc.gov/authorities/names/no89003973	"Coslow, Sam, 1902-"	http://id.loc.gov/authorities/names/n85085839						Edwin H. Morris	"New York, NY"	1945	English	First line of text|If I had the chance to be most anyone on earth.	"Caption title.|For voice and piano, with chord symbols.|At top of caption: As sung by Bing Crosby in the Paramount picture, Out of this world."	Laurence Conger			Motion picture music--Excerpts--Vocal scores with piano|Popular music|Songs with piano	Sheet music 712				Out of this world		"For voice and piano, with chord symbols.<br>Caption title.<br>At top of caption: As sung by Bing Crosby in the Paramount picture, Out of this world.<br>First line of text: If I had the chance to be most anyone on earth."			0	46	N	
					"Cherkose, Eddie, 1912-"	http://id.loc.gov/authorities/names/no90023189																												
1077	Let me call you sweetheart : I'm in love with you	At head of cover title|The new edition.	"Friedman, Leo, 1869-1927"	http://id.loc.gov/authorities/names/no2001101794	"Whitson, Beth Slater, 1879-1930"	http://id.loc.gov/authorities/names/no98089258					Mary F. Kidder	Harold Rossiter Music	"Chicago, IL"	1910	English	First line of text|I am dreaming dear of you.	"Caption title.|For voice and piano, with chord diagrams for ukulele.|At head of cover title: The new edition."	Laurence Conger			Popular music|Songs with piano	Sheet music 741						"For voice and piano, with chord diagrams for ukulele.<br>Caption title.<br>At head of cover title: The new edition.<br>First line of text: I am dreaming dear of you."	1077_1.jpg		4	232	N	
939	Playmates		"Dowell, Saxie, 1904-1974"	http://id.loc.gov/authorities/names/no2002028857	"Dowell, Saxie"	http://id.loc.gov/authorities/names/no2002028857						Santly-Joy-Select	"New York, NY"	1940	English	"First line of text|There's a catchy little tune a floatin' through the air. :: First line of chorus|Playmate come out and play with me.""Featured by Hal Kemp and 'The Smoothies.'"""	Caption title.|For voice and piano.|Includes chord symbols and diagrams for guitar.|2 copies in folder.	Laurence Conger			Popular music--1931-1940|Songs with piano	Sheet music 608					horace kirby	"For voice and piano.<br>Includes chord symbols and diagrams for guitar.<br>Caption title.<br>First line of text: There's a catchy little tune a floatin' through the air.<br>First line of chorus: Playmate come out and play with me.""Featured by Hal Kemp and 'The Smoothies.'""<br>2 copies in folder.<br>"			0	87	N	
941	Rum and Coca-Cola		"Sullavan, Jeri, 1924-"	http://id.loc.gov/authorities/names/n85199148	"Amsterdam, Morey"	http://id.loc.gov/authorities/names/no89009632						Leo. Feist	"New York, NY"	1944	English	First line of text|If you ever go to Trinidad. :: First line of chorus|Drinkin' rum and Coca-Cola.	"For voice and piano, with chord symbols.|Includes additional verses on p. [5].|""Featured by Andrews Sisters with Vic Schoen and his orchestra, Decca Record no. 18636A""--Cover.|Pl. no.: 7478-2"	Laurence Conger			Popular music|Songs with piano	Sheet music 610						"Pl. no.: 7478-2<br>For voice and piano, with chord symbols.<br>Includes additional verses on p. [5].<br>""Featured by Andrews Sisters with Vic Schoen and his orchestra, Decca Record no. 18636A""--Cover.<br>First line of text: If you ever go to Trinidad.<br>First line of chorus: Drinkin' rum and Coca-Cola."			0	75	N	
			"Baron, Paul, 1933-"	http://id.loc.gov/authorities/names/n88622816																														
1005	How lucky you are		"Cassen, Eddie"	http://id.loc.gov/authorities/names/nb2002008587	"O'connor, Desmond"	http://id.loc.gov/authorities/names/n78080106						Edward Kassner Music	London	1946	English	"First line of text|Love they say is just a gamble. :: First line of chorus|As you walk, as you talk, with one you love."	"Caption title.|For voice and piano in Bb, with chord symbols.|""Introduced and featured by Jack Owens on the Breakfast Club""--Cover."	Laurence Conger			Love songs|Popular music|Songs with piano	Sheet music 672						"For voice and piano in Bb, with chord symbols.<br>Caption title.<br>""Introduced and featured by Jack Owens on the Breakfast Club""--Cover.<br>First line of text: Love they say is just a gamble.<br>First line of chorus: As you walk, as you talk, with one you love."			0	36	N	
1023	Till the end of time : based on Chopin's polonaise		"Kaye, Buddy, 1918-2002"	http://id.loc.gov/authorities/names/n79018359	"Kaye, Buddy, 1918-2002"	http://id.loc.gov/authorities/names/n79018359					Barbelle	Santly-Joy	"New York, NY"	1945	English	"First line of text|I wished upon a star for someone. :: First line of chorus|Till the end of time, long as stars are in the blue."	Caption title.|For voice and piano; includes chord symbols for guitar.|Cover design by Barbelle.|Copy 2 in folder.	Laurence Conger			Popular music--1941-1950|Songs (Low voice) with piano	Sheet music 687						"For voice and piano; includes chord symbols for guitar.<br>First line of text: I wished upon a star for someone.<br>First line of chorus: Till the end of time, long as stars are in the blue.<BR>Caption title.<br>Cover design by Barbelle.<br>Copy 2 in folder.<BR>"			0	66	N	
			"Mossman, Ted, 1914-"	http://id.loc.gov/authorities/names/nb2001006007	"Mossman, Ted, 1914-"	http://id.loc.gov/authorities/names/nb2001006007																												
1033	Blue champagne		"Watts, Grady"	http://id.loc.gov/authorities/names/no2003028323	"Watts, Grady"	http://id.loc.gov/authorities/names/no2003028323						Encore Music	"New York, NY"	1941	English	First line of text|Three A.M. no where else to go.	"Caption title.|For voice and piano; includes chord diagrams and symbols for guitar.|""Featured by Glen Gray and the Casa Loma orchestra""--Cover."	Laurence Conger			Popular music|Songs with piano	Sheet music 697						"For voice and piano; includes chord diagrams and symbols for guitar.<br>Caption title.<br>""Featured by Glen Gray and the Casa Loma orchestra""--Cover.<br>First line of text: Three A.M. no where else to go."			0	84	N	
			"Ryerson, Frank"	http://id.loc.gov/authorities/names/no2008147839	"Ryerson, Frank"	http://id.loc.gov/authorities/names/no2008147839																												
1045	I'll walk alone		"Styne, Jule, 1905-1994"	http://id.loc.gov/authorities/names/n81120322	"Cahn, Sammy, 1913-1993"	http://id.loc.gov/authorities/names/n82096094						Mayfair Music	"New York, NY"	1944	English	First line of text|They call no date.	"Caption title.|For voice and piano; includes chord diagrams and symbols for guitar.|At caption: As sung by Dinah Shore in the Universal picture, Follow the boys."	Laurence Conger			Motion picture music--Excerpts--Vocal scores with piano|Songs with piano|Popular music	Sheet music 709				Follow the boys		"For voice and piano; includes chord diagrams and symbols for guitar.<br>Caption title.<br>At caption: As sung by Dinah Shore in the Universal picture, Follow the boys.<br>First line of text: They call no date."			0	59	N	
1053	The old spinning wheel		"Hill, Billy, 1899-1940"	http://id.loc.gov/authorities/names/no89004667	"Hill, Billy, 1899-1940"	http://id.loc.gov/authorities/names/no89004667					Wohlman	"Shapiro, Bernstein & Co."	"New York, NY"	1933	English	First line of text|Covered with dust and forgotten. :: First line of refrain|There's an old spinning wheel in the parlor. Cover photo of William Scotti.	"Caption title.|For voice and piano, with chord diagrams and symbols for ukulele.|Cover art by Wohlman.|Dedicated to P.J.|Copy 2 in folder.|Copy 2 cover photo of Sam Robbins."	Laurence Conger			Popular music--United States--1931-1940	Sheet music 717						"For voice and piano, with chord diagrams and symbols for ukulele.<br>Caption title.<br>First line of text: Covered with dust and forgotten.<br>First line of refrain: There's an old spinning wheel in the parlor. Cover photo of William Scotti.<BR>Cover art by Wohlman.<BR>Dedicated to P.J.<BR>Copy 2 in folder.<BR>Copy 2 cover photo of Sam Robbins.<BR>"			0	145	N	
1056	I must be dreaming		"Dubin, Al., 1891-1945"	http://id.loc.gov/authorities/names/n80151128	"Dubin, Al., 1891-1945"	http://id.loc.gov/authorities/names/n80151128						Ted Browne Music	"Chicago, IL"	1927	English	First line of text|Somehow I just can't get over hearing. :: First line of chorus|Who am I to think you would care for me.	"Caption title.|For voice and piano, with chord diagrams for ukulele.|Includes Lee Sims' piano solo chorus on p. 2."	Laurence Conger			Popular music|Songs with piano	Sheet music 720						"For voice and piano, with chord diagrams for ukulele.<br>Includes Lee Sims' piano solo chorus on p. 2.<br>Caption title.<br>First line of text: Somehow I just can't get over hearing.<br>First line of chorus: Who am I to think you would care for me."			0	120	N	
			"Flaherty, Pat"	http://id.loc.gov/authorities/names/no2007122090	"Flaherty, Pat"	http://id.loc.gov/authorities/names/no2007122090																												
			"Sherman, Al., 1897-1973"	http://id.loc.gov/authorities/names/no2003025564	"Sherman, Al."	http://id.loc.gov/authorities/names/no2003025564																												
1433	More and More		"Kern, Jerome, 1885-1945"	http://id.loc.gov/authorities/names/n80149466	"Harburg, E. Y."	http://id.loc.gov/authorities/names/n85342788						T. B. Harms	"New York, NY"	1944	English	First line of text|I try to hide what my eyes won't conceal	"For voice and piano, with chord symbols|Cover portrait of Deanna Durbin|Plate number: T.B.H.Co. 694"	Max Camp			Motion picture music	Sheet music 911				Can't help singing		"For voice and piano, with chord symbols <BR>First line of text:  I try to hide what my eyes won't conceal <BR>Cover portrait of Deanna Durbin <BR>Plate number:  T.B.H.Co. 694 <BR>"			0	69	N	
1441	Love somebody		"Whitney, Joan, 1914-1990"	http://id.loc.gov/authorities/names/no98088341	"Whitney, Joan, 1914-"	http://id.loc.gov/authorities/names/no98088341						Kramer-Whitney	"New York, NY"	1948	English	"First line of text|Love somebody, yes I do"	"For voice and piano, with chord symbols|Cover portrait of Doris Day and Buddy Clark"	Max Camp			Popular music|Songs with piano	Sheet music 918						"For voice and piano, with chord symbols <BR>First line of text:  Love somebody, yes I do <BR>Cover portrait of Doris Day and Buddy Clark <BR>"			0	46	N	
			"Kramer, Alex, 1903-1998"	http://id.loc.gov/authorities/names/no98088352	"Kramer, Alex, 1903-"	http://id.loc.gov/authorities/names/no98088352																												
1452	The enchanted glade		"Barker, Lois"	http://id.loc.gov/authorities/names/no2012140265	"Hubi-Newcombe, G."	http://id.loc.gov/authorities/names/no96003103						"Boosey & Co., Ltd."	"New York, NY"	1915	English	"First line of text|Night, and a wooing bird"	For voice and piano|Plate number: 1486	Max Camp				Sheet music 187					poetry <BR> night	"For voice and piano <BR>First line of text:  Night, and a wooing bird <BR>Plate number:  1486"			0	116	N	NO SUBJECTS?
1463	Somebody else		"Hubbell, Raymond, 1879-1954"	http://id.loc.gov/authorities/names/nr91035299	"Caldwell, Anne"	http://id.loc.gov/authorities/names/nb2009029432						Harms	"New York, NY"	1927	English	First line of text|Wand'ring alone in the city :: First line of refrain|Might think of somebody else	For voice and piano|Plate number 7920	Max Camp			Musicals	Sheet music Large 274				Yours truly		"For voice and piano <BR>First line of text:  Wand'ring alone in the city <BR>First line of refrain:  Might think of somebody else <BR>Plate number 7920 <BR>"			0	43	N	
2797	Neck and neck:  galop		"Grey, Frank H., 1883-1951"	http://id.loc.gov/authorities/names/nr97012940								Walter Jacobs	"Boston, MA"	1927			"For solo piano.|From Jacobs' piano folio of galops, vol. 4.|""Photoplay usage: race, chase and rapid action."""	Laurence Conger			Piano music|Galops	Sheet music 1797						"For solo piano.<BR>From Jacobs' piano folio of galops, vol. 4.<BR>""Photoplay usage:  race, chase and rapid action.""<BR>"			0	188	N	
3072	Victory:  original fantasie and air varie		"Clarke, Herbert L."	http://id.loc.gov/authorities/names/n79093346								Carl Fischer	"New York, NY"	1919			For cornet and piano.|Publisher no.: W502| Plate no.: 21402	Erik L. Collins ; Victoria Collins			Cornet and piano music	Sheet music 1965						"For cornet and piano.<br>Publisher no.:  W502<BR>Plate no.:  21402<BR>"			0	417	N	
1057	Smilin' through		"Penn, Arthur A., 1875-1941"	http://id.loc.gov/authorities/names/no96009672	"Penn, Arthur A., 1875-1941"	http://id.loc.gov/authorities/names/no96009672						M. Witmark & Son	"New York, NY"	1918	English	First line of text|There's a little brown road windin' over the hill.	"For medium voice and piano, in D.|Pl. no.: 15762-4.| Publisher no.: 7078."	Laurence Conger			Sentimentalism--Songs and music|Popular music--United States--1911-1920|Songs (Medium voice) with piano	Sheet music 721		Witmark Black and White Series				"For medium voice and piano, in D.<br>First line of text: There's a little brown road windin' over the hill.<BR>Pl. no.: 15762-4.<br>Publisher no.: 7078."			0	142	N	
1059	Wee wee Marie : will you do zis for me		"Fisher, Fred, 1875-1942"	http://id.loc.gov/authorities/names/n92083345	"Bryan, Alfred, 1871-1958"	http://id.loc.gov/authorities/names/n88051265					"De Takacs, Andre? C."	McCarthy & Fisher	"New York, NY"	1918	English	"First line of text|Poor Johnny's heart went pitty, pitty pat. :: First line of chorus|Wee Wee Marie, will you do zis for me."	"For voice and piano.|""Respectfully dedicated to our pal Ed. Morton.""|Cover illustration by De Takacs, André C."	Laurence Conger			"World War, 1914-1918--Songs and music|Women--France--Songs and music|Soldiers--United States--Songs and music|Popular music--United States--1911-1920|Songs with piano"	Sheet music 723						"For voice and piano.<BR>First line of text: Poor Johnny's heart went pitty, pitty pat.<BR>First line of chorus: Wee Wee Marie, will you do zis for me.<BR>""Respectfully dedicated to our pal Ed. Morton.""<BR>Cover illustration by De Takacs, André C."			0	133	N	
					"McCarthy, Joe, 1885-1943"	http://id.loc.gov/authorities/names/no89004059																												
1066	I'm drifting back to dreamland		"Charlesworth, Florence"	http://id.loc.gov/authorities/names/no2003036638	"Charlesworth, Florence"	http://id.loc.gov/authorities/names/no2003036638					A. D. Brown	Ted Browne	"Chicago, IL"	1922	English	First line of text|I'm sitting alone by the fireside.	"Caption title.|For voice and piano.|At cover title: Victor dance record no. 19101A.|""Played by the Benson orchestra of chicago Don Bestor director""--Cover."	Laurence Conger			Popular music|Songs with piano	Sheet music 730						"For voice and piano.<br>Caption title.<br>At cover title: Victor dance record no. 19101A.<br>""Played by the Benson orchestra of chicago Don Bestor director""--Cover.<br>First line of text: I'm sitting alone by the fireside."	1066_1.jpg		4	69	N	
			"Harrison, Charles"	http://id.loc.gov/authorities/names/no2002078010	"Harrison, Charles"	http://id.loc.gov/authorities/names/no2002078010																												
			"Sadler, Jack"	http://id.loc.gov/authorities/names/n84093730	"Sadler, Jack"	http://id.loc.gov/authorities/names/n84093730																												
1067	Carolina moon		"Davis, Benny, 1895-1979"	http://id.loc.gov/authorities/names/no95052608	"Davis, Benny, 1895-1979"	http://id.loc.gov/authorities/names/no95052608						Joe Morris Music	"New York, NY"	1928	English	First line of text|The moon was shining bright in Carolina.	"Caption title.|For voice and piano, with chord diagrams for ukulele.|Ukulele arr. by May Singhi Breen.|""Featured by Gene Austin""--Cover.|Music library has two copies."	Laurence Conger			Popular music|Songs with piano	Sheet music 731						"For voice and piano, with chord diagrams for ukulele.<br>Caption title.<br>Ukulele arr. by May Singhi Breen.<br>""Featured by Gene Austin""--Cover.<br>First line of text: The moon was shining bright in Carolina.<br>Music library has two copies.<br>"	1067_1.jpg		4	363	N	
			"Burke, Joe, 1884-1950"	http://id.loc.gov/authorities/names/no95002533	"Burke, Joe, 1884-1950"	http://id.loc.gov/authorities/names/no95002533																												
1070	California : song		"Abot, Charlie"	http://id.loc.gov/authorities/names/n2008046781	"Lait, Jack, 1882-1954"	http://id.loc.gov/authorities/names/no91004153					Starmer	Jerome H. Remick	"New York, NY"	1919	English	"First line of text|Far away in the gay cities I've wandered. :: First line of chorus|California, I wanna warn you."	For voice and piano.|Operatic edition.|From The Marcus Show of 1921.|Cover illustration by Starmer.|Pl. no.: 91-4.	Laurence Conger			California--Songs and music|Revues--Excerpts--Vocal scores with piano|Popular music--United States--1911-1920|Songs with piano	Sheet music 734						"For voice and piano.<BR>First line of text: Far away in the gay cities I've wandered.<BR>First line of chorus: California, I wanna warn you.<BR>Operatic edition.<BR>Pl. no.: 91-4.<BR>From The Marcus Show of 1921.<BR>Cover illustration by Starmer."	1070_1.jpg		5	136	N	
1100	Blue tango		"Anderson, Leroy, 1908-1975"	http://id.loc.gov/authorities/names/n83065666								Mills Music	"New York, NY"	1951			Caption title.|For piano.|Subtitle on cover: Piano solo.|Cover portrait: Leroy Anderson.	Laurence Conger			Tangos|Piano music	Sheet music 1449						"For piano.<br>Caption title.<br>Subtitle on cover: Piano solo.<br>Cover portrait: Leroy Anderson."			0	129	N	
1136	Uncle Dan : march and two-step		"Nagler, Frank X."	http://id.loc.gov/authorities/names/n2015007362								Carl Fischer	"New York, NY"	1905			"Caption title.|For piano.|""C. Fischer's ed."".|Pl. no.: 9619-3-C"	Laurence Conger			Piano music|Marches (Piano)	Sheet music Large 327		Favorites for pianoforte				"Pl. no.: 9619-3-C<br>For piano.<br>Caption title.<br>""C. Fischer's ed.""."			0	153	N	
1190	Menuet : from W. A. Mozart's symphony in Eb		"Mozart, Wolfgang Amadeus, 1756-1791"	http://id.loc.gov/authorities/names/n80022788			"Schulhoff, J., 1825-1898"	http://id.loc.gov/authorities/names/n88116183				Century Music	"New York, NY"	1905			Caption title.|For piano.|Century certified ed.	Mary Elizabeth Newton			"Piano music, Arranged|Minuets"	Sheet music 332		"Drawing room favorites; standard selections of the piano, series three; 317"				"For piano.<br>Caption title.<br>Century certified ed."	1190_1.jpg		5	203	N	
1412	South		"Moten Bennie, 1894-1935"	http://id.loc.gov/authorities/names/n85031478	"Charles, Ray, 1918-"	http://id.loc.gov/authorities/names/no91026368						Peer International Corporation	"New York, NY"	1941	English	First line of text|Down below that old Dixon Line :: First line of chorus|Where the folks are happy and gay	"For voice and piano|cover photo of Bill ""Cowboy Rambler"" Boyd"					Sheet music 893						"For voice and piano <BR>First line of text:  Down below that old Dixon Line <BR>First line of chorus:  Where the folks are happy and gay <BR>cover photo of Bill ""Cowboy Rambler"" Boyd <BR>"			0	132	N	NO SUBJECTS?
			"Hayes, T."	http://id.loc.gov/authorities/names/no2008057079																														
1413	Shoo the hoodoo away		"Snyder, Ted, 1881-1965"	http://id.loc.gov/authorities/names/no91011476	"Harris, Mort"	http://id.loc.gov/authorities/names/no2009007211					P. M. Griffith	"Sherman, Clay & Co."	"San Francisco, CA"	1930	English	"First line of text|Come all you darkies, I'm wailin' :: First line of chorus|Don't let your heart grow too heavy"	For voice and piano; with chord symbols and diagrams for ukulele|Cover art by P. M. Griffith.				Motion picture music--1921-1930	CSAM 102				Swing High	Lordy; Satan; prayin'; praying	"For voice and piano; with chord symbols and diagrams for ukulele <BR>First line of text:  Come all you darkies, I'm wailin' <BR>First line of chorus:  Don't let your heart grow too heavy <BR>Cover art by P. M. Griffith.<BR>"			0	130	N	
1416	When I think of you		"Rose, Vincent, 1880-1944"	http://id.loc.gov/authorities/names/no99002472	"Owens, Harry, 1902-"	http://id.loc.gov/authorities/names/no89011705	"Breen, May Singhi"	http://id.loc.gov/authorities/names/n97874187				"Leo. Feist, Inc."	"New York, NY"	1925	English	First line of text|Gay hours of gladness and laughter Carry on thru the day :: First line of chorus|The skies of gray turn blue	For voice and piano; with chord diagrams for ukulele|Cover portrait of Hurst & Vogt.|Plate number: 5549				Foxtrots	Sheet music 897						"For voice and piano; with chord diagrams for ukulele <BR>First line of text:  Gay hours of gladness and laughter Carry on thru the day <BR>First line of chorus:  The skies of gray turn blue <BR>Cover portrait of Hurst & Vogt. <BR>Plate number: 5549 <BR>"			0	84	N	
1417	Paper doll		"Black, Johnny S."	http://id.loc.gov/authorities/names/no2002106324	"Black, Johnny S."	http://id.loc.gov/authorities/names/no2002106324						Edward B. Marks Music Co.	"New York, NY"	1942	English	First line of text|I guess I've had a million dolls or more :: First line of chorus|I'm goin' to buy a paper doll that I can call my own	"For voice and piano, with diagrams for guitar and symbols for ukulele and banjo.|Cover has green text and drawing of paper doll over black background, and a picture of the Mills brothers.|Plate number: 11801"					Sheet music 898						"For voice and piano, with diagrams for guitar and symbols for ukulele and banjo. <BR>First line of text:  I guess I've had a million dolls or more <BR>First line of chorus:  I'm goin' to buy a paper doll that I can call my own <BR>Cover has green text and drawing of paper doll over black background, and a picture of the Mills brothers.<BR>Plate number: 11801"			0	100	N	NO SUBJECTS?
1420	"Buckle down, winsocki"		"Martin, Hugh"	http://id.loc.gov/authorities/names/no98063692	"Martin, Hugh"	http://id.loc.gov/authorities/names/no98063692						"Chappell & Co., Inc."	"New York, NY"	1941	English	First line of text|If you shout hooray for the Pennsylvania dutchmen :: First line of chorus|Buckle down Winsocki buckle down	"For piano and voice, with chord symbols for Ukulele and Banjo and symbols for guitar.|Cover picture from film|Plate number: C-1141 Buckle etc."				Musicals	Sheet music 901				Best Foot Forward	Pennsylvania dutchmen <BR>	"For piano and voice, with chord symbols for Ukulele and Banjo and symbols for guitar. <BR>First line of text:  If you shout hooray for the Pennsylvania dutchmen <BR>First line of chorus:  Buckle down Winsocki buckle down <BR>Cover picture from film <BR>Plate number:  C-1141 Buckle etc. <BR>"			0	149	N	
			"Blane, Ralph"	http://id.loc.gov/authorities/names/n84040775	"Blane, Ralph"	http://id.loc.gov/authorities/names/n84040775																												
1426	A needle in a haystack		"Conrad, Con, 1891-1938"	http://id.loc.gov/authorities/names/no89003976	"Magidson, Herbert, 1906-1986"	http://id.loc.gov/authorities/names/no89003991						Harms	"New York, NY"	1934	English	First line of text|It was a case of love at first sight :: First line of chorus|It's just like lookin' for a needle in a haystack	"For voice and piano; with chord symbols for ukulele, tenor-guitar and banjo, and diagrams for guitar|Cover portrait of Fred Astaire and Ginger Rogers|Plate number: S-501"				Motion picture music	Sheet music 906				The Gay Divorcee		"For voice and piano; with chord symbols for ukulele, tenor-guitar and banjo, and diagrams for guitar <BR>First line of text:  It was a case of love at first sight <BR>First line of chorus:  It's just like lookin' for a needle in a haystack <BR>Cover portrait of Fred Astaire and Ginger Rogers <BR>Plate number: S-501 <BR>"			0	59	N	
1427	Your guess is just as good as mine		"Sigler, Maurice, 1901-1961"	http://id.loc.gov/authorities/names/no2007112230	"Sigler, Maurice"	http://id.loc.gov/authorities/names/no2007112230						Leo. Feirst	"New York, NY"	1934	English	"First line of text|It puzzles me, I'm up a tree :: First line of chorus|Love has really got, Got me in a spot"	"For voice and piano, with chord symbols and diagrams for guitar|Cover portrait of Roxanne|Plate number: 6748"					Sheet music 716						"For voice and piano, with chord symbols and diagrams for guitar <BR>First line of text:  It puzzles me, I'm up a tree <BR>First line of chorus:  Love has really got, Got me in a spot <BR>Cover portrait of Roxanne <BR>Plate number:  6748"			0	93	N	NO SUBJECTS?
			"Goodhart, Al"	http://id.loc.gov/authorities/names/no00090081	"Goodhart, Al"	http://id.loc.gov/authorities/names/no00090081																												
			"Hoffman, Al, 1902-1960"	http://id.loc.gov/authorities/names/no92010056	"Hoffman, Al"	http://id.loc.gov/authorities/names/no92010056																												
