CurrentURL	MID	editor_data	photographer_data	illustrator_data	altTitles	notes	lang	text	Title	composer_data	lyricist_data	arranger_data	Publisher	PublisherLocationTest	testDates	Donor	Distributor	subject_data	CallNumber	PlateNumber	Series	CollectionSource	LargerWork	Keywords	zImagePath	MidiPath	zNumberOfPages	TitleSearchHits	Incomplete
http://sheetmusic.library.sc.edu/Music.asp?mid=416	416			Jenkins|http://id.loc.gov/authorities/names/no98131079		For piano.|Dedicated to R. E. Welsh.|Pl. no.: 6214-4	No linguistic content		Playin' possum : rag time two step	"Duganne, J. Mahlon|http://id.loc.gov/authorities/names/no2005094531"			Jos. W. Stern	"New York, NY"	1909	Fred and Betsy Miller		Piano music (Ragtime)|http://id.loc.gov/authorities/subjects/sh85101813	CSAM 34			CSAM			416_1.jpg		5	686	N
http://sheetmusic.library.sc.edu/Music.asp?mid=417	417					For piano solo.|Foster Hall Collection cutter no.: NPC13.521.	No linguistic content		Memories of the south	"Thaler, Rudolf|http://id.loc.gov/authorities/names/no2009076379"			The Eclipse Publishing Company	"Philadelphia, PA"	1908	Fred and Betsy Miller; Hemrick Salley		"Piano music, Arranged|http://id.loc.gov/authorities/subjects/sh85101791"	CSAM 35			CSAM			417_1.jpg		9	642	N
http://sheetmusic.library.sc.edu/Music.asp?mid=442	442					For voice and piano with chord symbols and tablature for guitar.|Second copy in folder.	English	First line of text|I just can't help but say. :: First line of refrain|Won't you tell me when we will meet again.	"Sunday, Monday or always"	"Van Heusen, Jimmy, 1913-1990|http://id.loc.gov/authorities/names/n87146380"	"Burke, Johnny, 1908-1964|http://id.loc.gov/authorities/names/no89004670"		Mayfair Music	"New York, NY"	1943	Mr. Louis and Mrs. Mary Racz ; John G. Sproat		Songs with piano|http://id.loc.gov/authorities/subjects/sh85125211 ; Motion picture music--Excerpts--Vocal scores with piano|http://id.loc.gov/authorities/subjects/sh85088059	Sheet music 28				Dixie				0	65	N
http://sheetmusic.library.sc.edu/Music.asp?mid=448	448			Starmer|http://id.loc.gov/authorities/names/no98132927		For piano solo.|Cover illustration by Starmer.|Pl. no.: 8499-2.	No linguistic content		Indianola : instrumental novelty and fox trot	"Henry, S. R., 1874-1966|http://id.loc.gov/authorities/names/no2006072953 ; Savino, Domenico, 1882-1973|http://id.loc.gov/authorities/names/no92006748"		"Savino, Domenico, 1882-1973|http://id.loc.gov/authorities/names/no92006748"	Jos. W. Stern	"New York, NY"	1917			Piano music (Ragtime)|http://id.loc.gov/authorities/subjects/sh85101813 ; Foxtrots|http://id.loc.gov/authorities/subjects/sh85051129 ; Popular instrumental music--1911-1920|http://id.loc.gov/authorities/subjects/sh87005464	Sheet music 34						448_1.jpg		4	113	N
																													
http://sheetmusic.library.sc.edu/Music.asp?mid=449	449					For voice and piano.|Originally for voice and orchestra.|Pl. no.: RC 105	Unknown		The poor people of Paris: Jean's song	"Monnot, Marguerite|http://id.loc.gov/authorities/names/nr95044570"			Reg Connelly Music	"New York, NY"	1954			Songs with piano|http://id.loc.gov/authorities/subjects/sh85125211 ; Popular music--1951-1960|http://id.loc.gov/authorities/subjects/sh87003306	Sheet music 35								0	45	N
http://sheetmusic.library.sc.edu/Music.asp?mid=457	457					For voice and piano with chord symbols and tablature for guitar.	English	First line of text|They say there's a tree in the forest.	The sweetheart tree	"Mancini, Henry|http://id.loc.gov/authorities/names/n81067977"	"Mercer, Johnny, 1909-1976|http://id.loc.gov/authorities/names/n82078485"		East Hill Music	"New York, NY"	1965			Motion picture music--Excerpts--Vocal scores with piano|http://id.loc.gov/authorities/subjects/sh85088059 ; Popular music--1961-1970|http://id.loc.gov/authorities/subjects/sh87003307	Sheet music 43				The great race	true love			0	39	N
http://sheetmusic.library.sc.edu/Music.asp?mid=2893	2893					"For organ and piano, with Hammond organ registration.|Fischer edition.|2 copies required for performance.|Plate no.: 9391"	No linguistic content		Clair de lune	"Debussy, Claude, 1862-1918|http://id.loc.gov/authorities/names/n79132137"		"Reddick, William J., 1890-1965|http://id.loc.gov/authorities/names/nr97003052"	J. Fischer & Bro.	"Glen Rock, NJ"	1963	Mary Clarkson		"Organ and piano music, Arranged|http://id.loc.gov/authorities/subjects/sh85101766"	Sheet music 1407								0	104	N
http://sheetmusic.library.sc.edu/Music.asp?mid=4606	4606					For voice and piano.|Pl. no.: 41563 C	English	"First line of text|You can't take it with you, Brother Will, Brother John."	"Brother Will, Brother John"	"Sacco, John, 1905-1987|http://id.loc.gov/authorities/names/no89020746"	"Welborn, Elizabeth Charles, 1903-1990|http://id.loc.gov/authorities/names/no2009087319"		G. Schirmer	"New York, NY"	1947	Donald Gray; Copy 2: Gene Ferguson		Songs with piano|http://id.loc.gov/authorities/subjects/sh85125211	Sheet music 2945								0	19	N
http://sheetmusic.library.sc.edu/Music.asp?mid=5643	5643					For voice and piano.|For high voice.|Words From Psalm 26.|Plate number: 195-6.	English	First line of text|The Lord is my light and my salvation.	The lord is my light	"Allitsen, Frances, 1848-1912|http://id.loc.gov/authorities/names/no89000113"			Boosey & Hawkes		1925			Music by women composers|http://id.loc.gov/authorities/subjects/sh90005362 ; Sacred songs with piano|http://id.loc.gov/authorities/subjects/sh85116369	Sheet music 3961								0	6	N
